Customer ,Invoice Type,Issue Category,Description,Identified On,Identified By,Revenue Impact,Impact Category,Rooo Cause,"Root Cause Owner,",Customer Received,Impacted Customers,Containment Action,Corrective Action,Rebilled/Credited,Action Owner,Due Date,Status,Approved By,Remakrs
Frontier,Clean & Screen,Over Charge,,15-05-2024,NaN,7147.32,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Frontier,,,No,Santhosh,22-05-2024,Open,Patrick,NaN
Frontier,FullFilment,Under Charge,,17-05-2024,NaN,13812,UnCategorized,Code issue - Invoice,Not_Assigned,No,Frontier,,,No,Santhosh,24-05-2024,Open,Neha,NaN
Breezeline,FullFilment,Over Charge,,13-05-2024,NaN,43703.1,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Breezeline,,,No,Santhosh,20-05-2024,Open,Patrick,NaN
Breezeline,Clean & Screen,Over Charge,,08-05-2024,NaN,103.68,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,Breezeline,,,No,Santhosh,15-05-2024,clsoed,Neha,NaN
Ziply,FullFilment,Over Charge,,16-05-2024,NaN,147.5,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,Ziply,,,No,Santhosh,23-05-2024,closed,Patrick,NaN
Ziply,FullFilment,Under Charge,,16-05-2024,NaN,72,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,Ziply,,,No,Santhosh,23-05-2024,Open,Patrick,NaN
Mediacom,Clean & Screen,Over Charge,,09-05-2024,NaN,184,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,Mediacom,,,No,Santhosh,16-05-2024,Open,Patrick,NaN
Ziply,Clean & Screen,NA,,15-05-2024,NaN,0,UnCategorized,KPI Issue - Invoice,Not_Assigned,No,Ziply,,,No,Santhosh,22-05-2024,Open,Neha,NaN
Breezeline,FullFilment,Over Charge,,22-05-2024,NaN,346.88,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,Breezeline,,,No,Santhosh,29-05-2024,clsoed,Patrick,NaN
Breezeline,Clean & Screen,Over Charge,,21-05-2024,NaN,5243.08,UnCategorized,Code issue - Invoice,Not_Assigned,No,Breezeline,,,No,Santhosh,28-05-2024,closed,Neha,NaN
WOW,Clean & Screen,Over Charge,,21-05-2024,NaN,4526.34,UnCategorized,Code issue - Invoice,Not_Assigned,No,WOW,,,No,Santhosh,28-05-2024,Open,Patrick,NaN
Roku,oem,Over Charge,,21-05-2024,NaN,5000,UnCategorized,,,,Roku,,,No,Santhosh,28-05-2024,Open,Patrick,NaN
Breezeline,Clean & Screen,Under Charge,,21-05-2024,NaN,2520.41,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Breezeline,,,No,Santhosh,28-05-2024,Open,Patrick,NaN
Breezeline,FullFilment,Under Charge,,22-05-2024,NaN,726.28,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,Breezeline,,,No,Santhosh,29-05-2024,clsoed,Neha,NaN
Breezeline,FullFilment,Under Charge,,22-05-2024,NaN,2850.25,UnCategorized,Code issue - Invoice,Not_Assigned,No,Breezeline,,,No,Santhosh,29-05-2024,closed,Patrick,NaN
Breezeline,FullFilment,Under Charge,,30-05-2024,NaN,15176.7,UnCategorized,Code issue - Invoice,Not_Assigned,No,Breezeline,,,No,Santhosh,06-06-2024,Open,Neha,NaN
Breezeline,FullFilment,Under Charge,,30-05-2024,NaN,3978.45,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Breezeline,,,No,Santhosh,06-06-2024,Open,Patrick,NaN
LinkLabs,FullFilment,NA,,30-05-2024,NaN,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,LinkLabs,,,No,Santhosh,06-06-2024,Open,Patrick,NaN
Tivo,FullFilment,Over Charge,,05-06-2024,NaN,2022.69,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,Tivo,,,No,Santhosh,12-06-2024,clsoed,Patrick,NaN
Breezeline,FullFilment,NA,,12-06-2024,NaN,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Breezeline,,,No,Santhosh,19-06-2024,closed,Neha,NaN
WOW,Clean & Screen,Over Charge,,18-06-2024,NaN,5607.85,UnCategorized,Data Issue - Vulcan/CRS,Not_Assigned,No,WOW,,,No,Santhosh,25-06-2024,Open,Patrick,NaN
Frontier,FullFilment,Over Charge,,09-07-2024,NaN,192.55,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,Frontier,,,No,Santhosh,16-07-2024,Open,Neha,NaN
Astound,FullFilment,Over Charge,,09-07-2024,NaN,12.63,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Astound,,,No,Santhosh,16-07-2024,Open,Patrick,NaN
Tivo,FullFilment,Under Charge,,11-07-2024,NaN,432,UnCategorized,KPI Issue - Invoice,Not_Assigned,No,Tivo,,,No,Santhosh,18-07-2024,clsoed,Patrick,NaN
Ziply,FullFilment,Over Charge,,24-07-2024,NaN,405,UnCategorized,Code issue - Invoice,Not_Assigned,No,Ziply,,,No,Santhosh,31-07-2024,closed,Patrick,NaN
Frontier,Clean & Screen,Under Charge,,26-07-2024,NaN,8168.4,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Frontier,,,No,Santhosh,02-08-2024,Open,Neha,NaN
Frontier,Clean & Screen,Under Charge,,26-07-2024,NaN,1191.36,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Frontier,,,No,Santhosh,02-08-2024,Open,Patrick,NaN
Frontier,Clean & Screen,Under Charge,,26-07-2024,NaN,293.04,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Frontier,,,No,Santhosh,02-08-2024,Open,Neha,NaN
Ziply,Clean & Screen,Under Charge,,30-07-2024,NaN,8697,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,Ziply,,,No,Santhosh,06-08-2024,clsoed,Patrick,NaN
Ziply,FullFilment,NA,,08-08-2024,NaN,0,UnCategorized,Code issue - Invoice,Not_Assigned,No,Ziply,,,No,Santhosh,15-08-2024,closed,Patrick,NaN
Breezeline,Clean & Screen,Under Charge,,07-08-2024,NaN,5673.24,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,Breezeline,,,No,Santhosh,14-08-2024,Open,Patrick,NaN
Roku,oem,Under Charge,,07-08-2024,NaN,5000,UnCategorized,,,,Roku,,,No,Santhosh,14-08-2024,Open,Neha,NaN
Tivo,FullFilment,Under Charge,,08-08-2024,NaN,7949.32,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,Tivo,,,No,Santhosh,15-08-2024,Open,Patrick,NaN
Roku,oem,,,10-24-2025,NaN,0,UnCategorized,,,,Roku,,,No,Santhosh,#VALUE!,clsoed,Neha,NaN
Breezeline,Clean & Screen,Over Charge,,20-08-2024,NaN,1947.85,UnCategorized,Code issue - Invoice,Not_Assigned,No,Breezeline,,,No,Santhosh,27-08-2024,closed,Patrick,NaN
Roku,Clean & Screen,Under Charge,,28-08-2024,NaN,6,UnCategorized,Code issue - Invoice,Not_Assigned,No,Roku,,,No,Santhosh,04-09-2024,Open,Patrick,NaN
Midco,FullFilment,Under Charge,,10-24-2025,NaN,938.23,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Midco,,,No,Santhosh,#VALUE!,Open,Patrick,NaN
Breezeline,FullFilment,Under Charge,,12-09-2024,NaN,1157.17,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Breezeline,,,No,Santhosh,19-09-2024,Open,Neha,NaN
